"lsoa21_code","analysis","official_rank","official_decile","rank_p05","rank_median","rank_p95","rank_p90_interval_width","same_decile_probability","probability_most_deprived_10pct","probability_most_deprived_20pct"
"E01000199","Weights +/-25%",24629,8,23970.85,24617,25285.35,1314.5,0.997,0,0
"E01000200","Weights +/-25%",20709,7,20055.4,20721.5,21362.2,1306.8,0.873,0,0
"E01000201","Weights +/-25%",30556,10,30027,30575.5,31042.05,1015.05,0.697,0,0
"E01000202","Weights +/-25%",23617,7,22854.9,23647,24438.1,1583.2,0.485,0,0
"E01000203","Weights +/-25%",10536,4,9891.85,10579,11258,1366.15,0.859,0,0
"E01000204","Weights +/-25%",21823,7,21118.75,21860.5,22549,1430.25,1,0,0
"E01000205","Weights +/-25%",25607,8,24839,25633.5,26385.05,1546.05,1,0,0
"E01000206","Weights +/-25%",27469,9,26407.95,27485,28377.1,1969.15,0.773,0,0
"E01000207","Weights +/-25%",23375,7,22326.95,23428,24405.1,2078.15,0.621,0,0
"E01000208","Weights +/-25%",25003,8,23810.6,25040,26118.65,2308.05,0.978,0,0
"E01000209","Weights +/-25%",26229,8,25369,26269.5,27045.6,1676.6,0.936,0,0
"E01000210","Weights +/-25%",22107,7,20638.4,22155,23488.9,2850.5,0.955,0,0
"E01000211","Weights +/-25%",10442,4,9746,10469,11141,1395,0.779,0,0
"E01000212","Weights +/-25%",19531,6,18411.7,19594.5,20649.2,2237.5,0.83,0,0
"E01000213","Weights +/-25%",26870,8,25685.8,26919,27948.25,2262.45,0.547,0,0
"E01000214","Weights +/-25%",23859,8,23097.6,23878.5,24615.3,1517.7,0.699,0,0
"E01000215","Weights +/-25%",9962,3,8975.95,10007,11058.15,2082.2,0.57,0,0
"E01000216","Weights +/-25%",14573,5,13709.6,14607,15406,1696.4,0.979,0,0
"E01000217","Weights +/-25%",13780,5,12944.15,13802,14648.2,1704.05,0.728,0,0
"E01000218","Weights +/-25%",10123,3,9364.75,10138,10918.05,1553.3,0.492,0,0
"E01000219","Weights +/-25%",7512,3,6900,7534,8156,1256,0.984,0,0.016
"E01000220","Weights +/-25%",8812,3,8057.95,8833,9707.05,1649.1,0.996,0,0
"E01000221","Weights +/-25%",4126,2,3782.8,4135,4446.05,663.25,1,0,1
